datetime,sid,action,original_side,recommended_side,evidence_key,size_multiplier,ctx,origin_regime,tier,actual,rec_is_win
2026-08-19T03:53:41.074901,3121474,FOLLOW,TAI,TAI,ADAPTIVE_HOLD,1.0,CHOP|c62-68|run3|with|g25-50|BR,CHOP|BR,,XIU,False
2026-08-19T04:07:53.082133,3121486,REDUCE_SIZE,TAI,TAI,ADAPTIVE_HOLD,0.814,CHOP|c62-68|run2|with|g50+|NAT,CHOP|NAT,,TAI,True
2026-08-19T04:09:03.949055,3121487,REDUCE_SIZE,TAI,TAI,ADAPTIVE_HOLD,0.856,CHOP|c62-68|run1|against|g15-25|BR,CHOP|BR,,XIU,False
2026-08-19T04:09:11.972524,3121487,REDUCE_SIZE,TAI,TAI,ADAPTIVE_HOLD,0.856,CHOP|c62-68|run1|against|g25-50|BR,CHOP|BR,,,
2026-08-19T04:10:14.967599,3121488,REDUCE_SIZE,XIU,XIU,ADAPTIVE_HOLD,0.856,ALT|c<62|run1|with|g50+|NAT,ALT|NAT,,XIU,True
2026-08-19T04:11:25.941480,3121489,FOLLOW,TAI,TAI,ADAPTIVE_HOLD,1.0,CHOP|c62-68|run2|with|g50+|NAT,CHOP|NAT,,XIU,False
2026-08-19T04:12:37.084458,3121490,REDUCE_SIZE,TAI,TAI,ADAPTIVE_HOLD,0.488,CHOP|c62-68|run3|with|g25-50|BR,CHOP|BR,,TAI,True
2026-08-19T04:13:48.009226,3121491,REDUCE_SIZE,TAI,TAI,ADAPTIVE_HOLD,0.882,CHOP|c62-68|run1|with|g15-25|BR,CHOP|BR,,XIU,False
2026-08-19T04:16:10.001667,3121493,REDUCE_SIZE,XIU,XIU,ADAPTIVE_HOLD,0.92,CHOP|c62-68|run2|against|g15-25|NAT,CHOP|NAT,,TAI,False
2026-08-19T04:17:21.042887,3121494,REDUCE_SIZE,TAI,TAI,ADAPTIVE_HOLD,0.66,CHOP|c62-68|run1|neutral|g3-8|BR,CHOP|BR,,TAI,True
2026-08-19T04:18:31.995844,3121495,REDUCE_SIZE,XIU,XIU,ADAPTIVE_HOLD,0.819,CHOP|c68-75|run2|neutral|g0-3|NAT,CHOP|NAT,,TAI,False
2026-08-19T04:19:43.036684,3121496,REDUCE_SIZE,XIU,XIU,ADAPTIVE_HOLD,0.8,CHOP|c62-68|run3|with|g8-15|BR,CHOP|BR,,XIU,True
2026-08-19T04:25:38.065919,3121501,REDUCE_SIZE,TAI,TAI,ADAPTIVE_HOLD,0.956,CHOP|c62-68|run1|with|g25-50|BR,CHOP|BR,,TAI,True
2026-08-19T04:26:49.034047,3121502,FOLLOW,TAI,TAI,ADAPTIVE_HOLD,1.0,CLUST|c68-75|run2|with|g50+|NAT,CLUST|NAT,,TAI,True
2026-08-19T04:29:11.012867,3121504,FOLLOW,XIU,XIU,ADAPTIVE_HOLD,1.0,CLUST|c62-68|run1|with|g25-50|NAT,CLUST|NAT,,TAI,False
2026-08-19T04:30:22.020066,3121505,REDUCE_SIZE,XIU,XIU,ADAPTIVE_HOLD,0.783,CHOP|c68-75|run1|against|g15-25|NAT,CHOP|NAT,,XIU,True
2026-08-19T04:31:33.058839,3121506,REDUCE_SIZE,XIU,XIU,ADAPTIVE_HOLD,0.938,CHOP|c68-75|run1|against|g25-50|NAT,CHOP|NAT,,TAI,False
2026-08-19T04:33:55.041395,3121508,FOLLOW,TAI,TAI,ADAPTIVE_HOLD,1.0,ALT|c68-75|run2|with|g15-25|NAT,ALT|NAT,,XIU,False
2026-08-19T04:35:06.052320,3121509,REDUCE_SIZE,TAI,TAI,ADAPTIVE_HOLD,0.955,ALT|c62-68|run1|against|g15-25|NAT,ALT|NAT,,TAI,True
2026-08-19T04:37:28.069031,3121511,REDUCE_SIZE,XIU,XIU,ADAPTIVE_HOLD,0.814,CHOP|c62-68|run2|with|g25-50|NAT,CHOP|NAT,,TAI,False
2026-08-19T04:38:38.976361,3121512,FOLLOW,XIU,XIU,ADAPTIVE_HOLD,1.0,CHOP|c62-68|run3|with|g8-15|BR,CHOP|BR,,TAI,False
2026-08-19T04:39:50.070548,3121513,REDUCE_SIZE,XIU,XIU,ADAPTIVE_HOLD,0.95,CHOP|c62-68|run4+|with|g8-15|BR,CHOP|BR,,XIU,True
2026-08-19T04:41:01.083592,3121514,FOLLOW,XIU,XIU,ADAPTIVE_HOLD,1.0,CHOP|c62-68|run1|against|g25-50|BR,CHOP|BR,,XIU,True
2026-08-19T04:43:23.067346,3121516,FOLLOW,XIU,XIU,ADAPTIVE_HOLD,1.0,CHOP|c62-68|run1|against|g25-50|BR,CHOP|BR,,TAI,False
2026-08-19T04:44:34.074277,3121517,FOLLOW,XIU,XIU,ADAPTIVE_HOLD,1.0,CHOP|c62-68|run2|with|g50+|BR,CHOP|BR,,TAI,False
2026-08-19T04:45:45.076408,3121518,FOLLOW,XIU,XIU,ADAPTIVE_HOLD,0.975,CHOP|c62-68|run3|with|g25-50|BR,CHOP|BR,,TAI,False
2026-08-19T04:46:56.023558,3121519,REDUCE_SIZE,TAI,TAI,ADAPTIVE_HOLD,0.899,CLUST|c<62|run4+|with|g8-15|NAT,CLUST|NAT,,TAI,True
2026-08-19T04:48:07.116001,3121520,FOLLOW,TAI,TAI,ADAPTIVE_HOLD,1.0,CLUST|c<62|run4+|with|g50+|NAT,CLUST|NAT,,TAI,True
2026-08-19T04:49:18.009781,3121521,FOLLOW,XIU,XIU,ADAPTIVE_HOLD,1.0,CLUST|c62-68|run4+|with|g25-50|NAT,CLUST|NAT,,XIU,True
2026-08-19T04:55:13.174300,3121526,FOLLOW,TAI,TAI,ADAPTIVE_HOLD,1.0,CLUST|c68-75|run2|against|g25-50|NAT,CLUST|NAT,,TAI,True
2026-08-19T04:56:24.028846,3121527,FOLLOW,TAI,TAI,ADAPTIVE_HOLD,1.0,CLUST|c<62|run3|with|g50+|NAT,CLUST|NAT,,TAI,True
2026-08-19T04:57:35.127218,3121528,FOLLOW,TAI,TAI,ADAPTIVE_HOLD,1.0,CLUST|c<62|run4+|against|g15-25|NAT,CLUST|NAT,,TAI,True
2026-08-19T04:59:57.117839,3121530,FOLLOW,XIU,XIU,ADAPTIVE_HOLD,1.0,CLUST|c62-68|run4+|with|g25-50|NAT,CLUST|NAT,,TAI,False
2026-08-19T05:01:08.122658,3121531,FOLLOW,XIU,XIU,ADAPTIVE_HOLD,1.0,CLUST|c62-68|run4+|with|g15-25|NAT,CLUST|NAT,,TAI,False
2026-08-19T05:02:19.082830,3121532,FOLLOW,XIU,XIU,ADAPTIVE_HOLD,1.0,CLUST|c62-68|run4+|with|g8-15|NAT,CLUST|NAT,,XIU,True
2026-08-19T05:08:14.084302,3121537,FOLLOW,XIU,XIU,ADAPTIVE_HOLD,0.973,CHOP|c62-68|run1|against|g25-50|BR,CHOP|BR,,XIU,True
2026-08-19T05:10:36.059619,3121539,FOLLOW,XIU,XIU,ADAPTIVE_HOLD,1.0,CHOP|c62-68|run1|against|g50+|BR,CHOP|BR,,XIU,True
2026-08-19T05:12:58.128060,3121541,REDUCE_SIZE,TAI,TAI,ADAPTIVE_HOLD,0.861,CHOP|c62-68|run2|with|g50+|NAT,CHOP|NAT,,TAI,True
2026-08-19T05:14:09.274635,3121542,FOLLOW,TAI,TAI,ADAPTIVE_HOLD,1.0,CHOP|c62-68|run1|against|g50+|BR,CHOP|BR,,XIU,False
2026-08-19T05:15:20.176484,3121543,FOLLOW,XIU,XIU,ADAPTIVE_HOLD,1.0,ALT|c68-75|run1|with|g25-50|NAT,ALT|NAT,,TAI,False
2026-08-19T05:18:53.243111,3121546,FOLLOW,TAI,TAI,ADAPTIVE_HOLD,1.0,ALT|c62-68|run2|with|g50+|NAT,ALT|NAT,,XIU,False
2026-08-19T05:20:04.111679,3121547,REDUCE_SIZE,XIU,XIU,ADAPTIVE_HOLD,0.935,ALT|c<62|run3|against|g8-15|NAT,ALT|NAT,,TAI,False
2026-08-19T05:21:15.241883,3121548,REDUCE_SIZE,XIU,XIU,ADAPTIVE_HOLD,0.83,ALT|c62-68|run1|with|g15-25|NAT,ALT|NAT,,XIU,True
2026-08-19T05:23:37.168824,3121550,REDUCE_SIZE,XIU,XIU,ADAPTIVE_HOLD,0.865,CHOP|c62-68|run2|with|g8-15|NAT,CHOP|NAT,,XIU,True
2026-08-19T05:24:48.151697,3121551,REDUCE_SIZE,TAI,TAI,ADAPTIVE_HOLD,0.961,CHOP|c62-68|run3|with|g50+|NAT,CHOP|NAT,,TAI,True
2026-08-19T05:25:59.163462,3121552,FOLLOW,TAI,TAI,ADAPTIVE_HOLD,1.0,CHOP|c62-68|run1|against|g50+|BR,CHOP|BR,,XIU,False
2026-08-19T05:27:10.160499,3121553,REDUCE_SIZE,TAI,TAI,ADAPTIVE_HOLD,0.82,CHOP|c62-68|run1|against|g50+|BR,CHOP|BR,,TAI,True
2026-08-19T05:31:54.130584,3121557,FOLLOW,TAI,TAI,ADAPTIVE_HOLD,1.0,CHOP|c75-80|run2|with|g8-15|NAT,CHOP|NAT,,XIU,False
2026-08-19T05:33:05.122397,3121558,REDUCE_SIZE,TAI,TAI,ADAPTIVE_HOLD,0.852,CHOP|c62-68|run3|with|g25-50|BR,CHOP|BR,,XIU,False
2026-08-19T05:34:16.275042,3121559,FOLLOW,XIU,XIU,ADAPTIVE_HOLD,1.0,CLUST|c<62|run4+|against|g25-50|NAT,CLUST|NAT,,XIU,True
2026-08-19T05:35:27.212377,3121560,FOLLOW,XIU,XIU,ADAPTIVE_HOLD,1.0,CLUST|c<62|run4+|with|g15-25|NAT,CLUST|NAT,,XIU,True
